postaja	geo-visina	geo-sirina	total_space
PREŠERNOV TRG-PETKOVŠKOVO NABREŽJE	46.051367	14.506542	20
POGAČARJEV TRG-TRŽNICA	46.051093	14.507186	18
KONGRESNI TRG-ŠUBIČEVA ULICA	46.050388	14.504623	20
CANKARJEVA UL.-NAMA	46.052431	14.503257	26
BREG	46.046498	14.505148	20
GRUDNOVO NABREŽJE-KARLOVŠKA C.	46.045748	14.506196	18
MIKLOŠIČEV PARK	46.054168	14.507060	18
BAVARSKI DVOR	46.056820	14.505510	20
TRG OF-KOLODVORSKA UL.	46.057421	14.510265	26
MASARYKOVA DDC	46.057630	14.514264	18
VILHARJEVA CESTA	46.060050	14.513020	20
PARK NAVJE-ŽELEZNA CESTA	46.063610	14.513150	20
TRG MDB	46.047565	14.495687	20
PARKIRIŠČE NUK 2-FF	46.046377	14.501256	20
AMBROŽEV TRG	46.049877	14.516308	18
GH ŠENTPETER-NJEGOŠEVA C.	46.052570	14.519280	24
ILIRSKA ULICA	46.053144	14.513479	18
TRŽAŠKA C.-ILIRIJA	46.044629	14.486699	20
TIVOLI	46.059520	14.498200	17
STARA CERKEV	46.063420	14.494588	14
KINO ŠIŠKA	46.069280	14.489710	23
ŠPICA	46.040213	14.512044	18
BARJANSKA C.-CENTER STAREJŠIH TRNOVO	46.040810	14.499510	20
ZALOŠKA C.-GRABLOVIČEVA C.	46.054410	14.529780	16
TRŽNICA MOSTE	46.055801	14.534156	21
ROŽNA DOLINA-ŠKRABČEVA UL.	46.051439	14.492730	18
DUNAJSKA C.-PS PETROL	46.065136	14.509112	19
PLEČNIKOV STADION	46.069420	14.510520	18
DUNAJSKA C.-PS MERCATOR	46.074193	14.511134	18
LIDL - VOJKOVA CESTA	46.075890	14.520110	20
ŠPORTNI CENTER STOŽICE	46.082590	14.520160	26
KOPRSKA ULICA	46.033408	14.482468	8
MERCATOR CENTER ŠIŠKA	46.087079	14.475439	22
CITYPARK	46.068805	14.546257	20
BTC CITY/DVORANA A	46.065297	14.543996	19
BTC CITY ATLANTIS	46.063081	14.547851	20
TRNOVO	46.037840	14.500010	20
P+R BARJE	46.027490	14.499580	20
P + R DOLGI MOST	46.037003	14.465229	20
BONIFACIJA	46.039641	14.472664	21
ANTONOV TRG	46.041753	14.477016	20
BRATOVŠEVA PLOŠČAD	46.089290	14.513751	20
BS4-STOŽICE	46.086761	14.514151	20
SAVSKO NASELJE 2-LINHARTOVA CESTA	46.064546	14.518013	20
SAVSKO NASELJE 1-ŠMARTINSKA CESTA	46.062475	14.524321	20
SITULA	46.059433	14.520510	20
ŠTEPANJSKO NASELJE 1-JAKČEVA ULICA	46.053047	14.545125	19
HOFER-KAJUHOVA	46.056405	14.540901	20
BRODARJEV TRG	46.054398	14.553319	20
PREGLOV TRG	46.054554	14.559080	20
LIDL-LITIJSKA CESTA	46.047689	14.547416	20
ŽIVALSKI VRT	46.052454	14.472149	20
CESTA NA ROŽNIK	46.053241	14.486206	20
ŠMARTINSKI PARK	46.065206	14.529911	20
POLJANSKA-POTOČNIKOVA	46.048982	14.522709	20
SREDNJA FRIZERSKA ŠOLA	46.080522	14.491439	20
POVŠETOVA-GRABLOVIČEVA	46.051863	14.530349	18
TRŽNICA KOSEZE	46.074315	14.475483	18
LIDL BEŽIGRAD	46.063797	14.506854	20
MERCATOR MARKET - CELOVŠKA C. 163	46.073264	14.485942	20
RAKOVNIK	46.036284	14.522948	20
ALEJA - CELOVŠKA CESTA	46.077302	14.482581	20
IKEA	46.065175	14.539537	20
KOPALIŠČE KOLEZIJA	46.042867	14.495239	19
VIŠKO POLJE	46.046189	14.469037	20
KOSEŠKI BAJER	46.068443	14.470913	20
DRAVLJE	46.079840	14.479952	20
ČRNUČE	46.102446	14.530213	20
STUDENEC	46.054615	14.576031	20
POLJE	46.057220	14.583537	20
ZALOG	46.060430	14.613797	20
LIDL - RUDNIK	46.020012	14.532479	20
PRUŠNIKOVA	46.090608	14.471637	20
POVŠETOVA - KAJUHOVA	46.051512	14.539272	20
SOSESKA NOVO BRDO	46.045617	14.462281	20
TEHNOLOŠKI PARK	46.048430	14.461086	20
VOJKOVA - GASILSKA BRIGADA	46.068727	14.516858	20
GERBIČEVA - ŠPORTNI PARK SVOBODA	46.039384	14.485458	20
DOLENJSKA C. - STRELIŠČE	46.038866	14.517605	20
ROŠKA - STRELIŠKA	46.045000	14.518460	20
LEK - VEROVŠKOVA	46.076856	14.500222	20
VOKA - SLOVENČEVA	46.075207	14.504734	20
SUPERNOVA LJUBLJANA - RUDNIK	46.021586	14.536745	20
