timestamp,PREŠERNOV TRG-PETKOVŠKOVO NABREŽJE,POGAČARJEV TRG-TRŽNICA,KONGRESNI TRG-ŠUBIČEVA ULICA,CANKARJEVA UL.-NAMA,BREG,GRUDNOVO NABREŽJE-KARLOVŠKA C.,MIKLOŠIČEV PARK,BAVARSKI DVOR,TRG OF-KOLODVORSKA UL.,MASARYKOVA DDC,VILHARJEVA CESTA,PARK NAVJE-ŽELEZNA CESTA,TRG MDB,PARKIRIŠČE NUK 2-FF,AMBROŽEV TRG,GH ŠENTPETER-NJEGOŠEVA C.,ILIRSKA ULICA,TRŽAŠKA C.-ILIRIJA,TIVOLI,STARA CERKEV,KINO ŠIŠKA,ŠPICA,BARJANSKA C.-CENTER STAREJŠIH TRNOVO,ZALOŠKA C.-GRABLOVIČEVA C.,TRŽNICA MOSTE,ROŽNA DOLINA-ŠKRABČEVA UL.,DUNAJSKA C.-PS PETROL,PLEČNIKOV STADION,DUNAJSKA C.-PS MERCATOR,LIDL - VOJKOVA CESTA,ŠPORTNI CENTER STOŽICE,KOPRSKA ULICA,MERCATOR CENTER ŠIŠKA,CITYPARK,BTC CITY/DVORANA A,BTC CITY ATLANTIS,TRNOVO,P+R BARJE,P + R DOLGI MOST,BONIFACIJA,ANTONOV TRG,BRATOVŠEVA PLOŠČAD,BS4-STOŽICE,SAVSKO NASELJE 2-LINHARTOVA CESTA,SAVSKO NASELJE 1-ŠMARTINSKA CESTA,SITULA,ŠTEPANJSKO NASELJE 1-JAKČEVA ULICA,HOFER-KAJUHOVA,BRODARJEV TRG,PREGLOV TRG,LIDL-LITIJSKA CESTA,ŽIVALSKI VRT,CESTA NA ROŽNIK,ŠMARTINSKI PARK,POLJANSKA-POTOČNIKOVA,SREDNJA FRIZERSKA ŠOLA,POVŠETOVA-GRABLOVIČEVA,TRŽNICA KOSEZE,LIDL BEŽIGRAD,MERCATOR MARKET - CELOVŠKA C. 163,RAKOVNIK,ALEJA - CELOVŠKA CESTA,IKEA,KOPALIŠČE KOLEZIJA,VIŠKO POLJE,KOSEŠKI BAJER,DRAVLJE,ČRNUČE,STUDENEC,POLJE,ZALOG,LIDL - RUDNIK,PRUŠNIKOVA,POVŠETOVA - KAJUHOVA,SOSESKA NOVO BRDO,TEHNOLOŠKI PARK,VOJKOVA - GASILSKA BRIGADA,GERBIČEVA - ŠPORTNI PARK SVOBODA,DOLENJSKA C. - STRELIŠČE,ROŠKA - STRELIŠKA,LEK - VEROVŠKOVA,VOKA - SLOVENČEVA,SUPERNOVA LJUBLJANA - RUDNIK
2022-08-02 13:04:00,17,17,20,26,10,10,16,7,12,2,7,7,10,11,5,9,9,2,6,5,1,5,1,5,2,4,8,10,1,0,2,4,20,11,11,7,3,2,4,6,1,6,8,2,9,0,0,11,5,14,10,4,0,9,1,10,1,0,11,2,4,1,7,6,2,0,4,10,11,6,12,1,4,9,7,5,4,2,9,4,8,3,1
2022-08-02 13:10:00,18,17,19,25,10,11,15,7,12,4,7,10,6,11,5,10,8,2,6,5,1,4,0,5,1,4,7,10,1,0,2,5,20,11,12,7,3,2,4,6,1,6,8,1,8,0,0,11,5,14,10,4,0,9,1,10,1,0,10,2,4,2,7,3,2,0,4,10,11,6,12,1,4,9,7,5,4,1,9,4,8,2,1
2022-08-02 13:14:00,17,18,19,25,9,11,16,7,12,5,6,9,4,11,5,9,8,3,6,5,1,5,0,5,1,3,6,10,1,1,2,5,21,11,12,7,3,2,4,6,1,6,8,0,9,1,0,13,5,14,10,4,0,9,2,10,1,0,10,3,4,2,7,3,2,0,4,10,11,6,12,1,4,9,7,5,4,1,9,4,8,2,1
2022-08-02 13:20:00,18,15,20,26,12,11,18,6,13,1,7,9,3,11,5,9,8,2,4,5,1,7,0,3,0,4,6,11,0,2,1,5,21,11,12,7,3,2,4,6,0,6,8,0,9,2,0,12,5,13,10,4,0,9,1,9,0,1,10,3,4,3,7,2,2,0,4,10,11,6,12,1,4,9,7,5,2,1,9,4,8,2,1
2022-08-02 13:25:00,20,16,19,23,12,10,17,6,15,1,7,9,3,12,5,10,4,3,2,5,1,7,0,3,0,4,7,11,0,2,2,5,21,10,12,7,2,2,4,6,0,7,9,0,9,2,0,14,6,13,10,4,0,9,3,9,0,1,10,3,4,2,7,2,2,1,4,10,11,6,12,1,4,9,7,5,2,1,9,4,8,2,1
2022-08-02 13:30:00,19,17,17,21,12,10,18,6,14,1,8,8,4,12,4,11,4,4,1,5,1,6,0,3,2,7,9,11,1,2,2,5,21,11,12,8,2,2,4,6,1,7,9,0,9,2,0,14,7,13,11,4,0,9,2,9,2,1,10,3,4,1,7,2,2,1,4,10,11,6,12,1,4,10,7,5,2,1,9,4,7,2,1
2022-08-02 13:35:00,19,15,18,18,12,10,17,9,18,2,7,8,4,11,4,11,3,4,2,5,1,5,0,3,2,8,8,11,1,2,2,5,21,11,12,7,0,2,4,6,2,6,9,0,9,2,1,13,7,15,11,4,0,8,2,9,3,0,12,3,4,1,7,1,1,1,5,10,11,6,12,1,4,10,7,5,2,1,9,4,7,2,1
2022-08-02 13:40:00,18,14,17,20,12,10,14,10,18,3,7,8,0,11,3,11,4,4,2,5,1,5,0,3,4,10,7,11,3,1,2,5,20,9,12,7,0,2,4,6,2,6,9,0,9,2,0,12,7,16,10,4,0,8,2,9,3,2,14,3,4,1,7,4,1,1,6,10,11,7,12,1,4,10,7,5,2,1,9,4,6,2,1
2022-08-02 13:44:00,17,14,17,21,13,10,13,9,15,4,7,8,0,11,3,8,4,4,3,6,2,4,0,3,2,10,7,11,4,1,2,4,20,8,13,7,0,2,5,6,2,6,9,0,9,2,0,12,7,16,10,4,0,8,3,9,3,2,13,3,4,0,6,8,1,1,7,10,12,7,12,2,3,10,7,5,2,1,9,4,6,1,1
2022-08-02 13:50:00,17,14,17,19,13,7,13,7,14,6,7,8,0,10,3,7,4,4,3,6,2,3,0,4,3,9,6,11,4,1,1,4,20,8,13,8,0,2,5,6,1,6,9,0,9,3,0,12,7,16,10,3,0,7,3,9,3,2,12,1,4,0,5,10,1,0,7,10,12,7,12,2,3,10,7,5,2,1,9,4,6,0,1
