name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Ljubljana,2022-08-02T00:00:00,19.8,19.8,16,78.77,0.068,100,rain,0,0,10.4,27.2,300,1018,86.7,10,,,,,"Rain, Partially cloudy",rain,"11331099999,14014099999,11232099999,LJLJ,11231099999"
Ljubljana,2022-08-02T01:00:00,18,18,16.9,93.07,0,0,,0,0,10.1,12.6,275,1018.9,89,10,,,,,Partially cloudy,partly-cloudy-night,"11331099999,14014099999,11232099999,LJLJ"
Ljubljana,2022-08-02T02:00:00,18.8,18.8,17.1,90.31,0.076,100,rain,0,0,25.2,14.5,330,1017.7,99.9,11.1,,,,,"Rain, Overcast",rain,"14014099999,14010099999,14118099999,14015099999,14012099999,14112099999"
Ljubljana,2022-08-02T03:00:00,17.9,17.9,16.9,93.38,0.299,100,rain,0,0,6.1,13.8,266,1019,89,10,,,,,"Rain, Partially cloudy",rain,"11331099999,14014099999,11232099999,LJLJ,11231099999"
Ljubljana,2022-08-02T04:00:00,17,17,16,93.84,0,0,,0,0,8.3,7.3,281,1019,85.5,10,,,,,Partially cloudy,partly-cloudy-night,"11331099999,14014099999,LJLJ,11231099999"
Ljubljana,2022-08-02T05:00:00,18.2,18.2,16.6,90.33,0,0,,0,0,18,7.1,293,1018.6,99.9,39.6,,,,,Overcast,cloudy,"14014099999,14010099999,14118099999,14015099999,14012099999,14112099999"
Ljubljana,2022-08-02T06:00:00,16.8,16.8,15.8,93.94,0.006,100,rain,0,0,6.8,3.8,279,1018.1,87.5,10.3,7,0,0,,"Rain, Partially cloudy",rain,"11331099999,14219099999,14014099999,11232099999,C7200,LJLJ,11231099999"
Ljubljana,2022-08-02T07:00:00,16.8,16.8,15.9,94.15,0,0,,0,0,4,6.8,288,1019,88.3,10.6,58,0.2,1,,Partially cloudy,partly-cloudy-day,"11331099999,14219099999,14014099999,E3154,11232099999,LJLJ,11231099999"
Ljubljana,2022-08-02T08:00:00,16.5,16.5,16.3,98.49,1.171,100,rain,0,0,11.2,1.5,293,1018.1,90.6,35.3,130,0.5,1,,"Rain, Overcast",rain,"14014099999,14010099999,E3154,14118099999,14006099999,14012099999,14112099999"
Ljubljana,2022-08-02T09:00:00,17.9,17.9,16.7,92.95,0,0,,0,0,5,7.1,277,1019.1,88.3,10.6,165,0.6,2,,Partially cloudy,partly-cloudy-day,"11331099999,14219099999,14014099999,E3154,11232099999,LJLJ,11231099999"
Ljubljana,2022-08-02T10:00:00,18.9,18.9,16.7,87.09,0,0,,0,0,6.1,2.4,290,1019,88.3,10.6,195,0.7,2,,Partially cloudy,partly-cloudy-day,"11331099999,14219099999,14014099999,E3154,11232099999,LJLJ,11231099999"
Ljubljana,2022-08-02T11:00:00,21.4,21.4,16.6,74.25,0,0,,0,0,7.3,3.6,290,1018.3,60.4,40.1,775,2.8,8,,Partially cloudy,partly-cloudy-day,"14014099999,14010099999,E3154,14118099999,14015099999,14012099999,14112099999"
Ljubljana,2022-08-02T12:00:00,21.1,21.1,17.6,80.35,0,0,,0,0,14,3.7,16,1018.9,51.9,10.6,872,3.1,9,,Partially cloudy,partly-cloudy-day,"11331099999,14219099999,14014099999,E3154,11232099999,LJLJ,11231099999"
Ljubljana,2022-08-02T13:00:00,24,24,17.6,67.46,0,0,,0,0,21.6,2.5,87,1018.8,30.3,11,889,3.2,9,,Partially cloudy,partly-cloudy-day,"11331099999,14219099999,14014099999,E3154,11232099999,LJLJ,11231099999"
Ljubljana,2022-08-02T14:00:00,28.4,28.6,16.2,47.48,0,0,,0,0,21.6,10.6,231,1016.2,29.5,49.8,976,3.5,10,,Partially cloudy,partly-cloudy-day,"14014099999,14010099999,E3154,14118099999,14015099999,14012099999,14112099999"
Ljubljana,2022-08-02T15:00:00,26.7,26.7,15,48.85,0,0,,0,0,23,9.4,137,1017.9,29.6,10.6,269,1,3,,Partially cloudy,partly-cloudy-day,"11331099999,14219099999,14014099999,E3154,11232099999,LJLJ,11231099999"
Ljubljana,2022-08-02T16:00:00,27.5,27.5,14,43.48,0,0,,0,0,23.8,17.1,95,1017.8,49.2,10,264,1,3,,Partially cloudy,partly-cloudy-day,"11331099999,14219099999,14014099999,E3154,11232099999,LJLJ,11231099999"
